Proteins,C1,C2,C3,C4,C5,Labels
Q9VEQ6,2.6707201394244225e-05,0.0002374356944994064,0.375366245050102,1.3921029936819892e-09,2.2182739184460285e+35,0
Q7KUB0,0.0093480590517291,0.0010288880094974277,0.3811384139234016,4.3581896309267625e-05,4.349613752935863e+35,0
Q7KUB1,0.009601010294445366,0.001187178472497032,0.3808420387959339,4.5525372445290634e-05,4.451783737131922e+35,0
Q8IQA7,0.009416528956352317,0.0011080332409972298,0.37855774014621796,3.030415713455192e-05,4.090054595833717e+35,0
Q9VSI6,0.00934805491619611,0.0009497427779976256,0.3784056478440299,2.9240473290584114e-05,3.86276947832538e+35,0
Q9VDD9,0.011079124299547603,0.0007123070834982192,0.37804345891346414,1.6139023668916549e-06,3.066067123472766e+35,0
Q9VNB9,0.008038023275723534,0.0017411950929956468,0.3803806128580968,3.8186251613588705e-05,4.55964377329088e+35,1
P55935,0.006924786701491935,0.0037198258804907003,0.3855550444717472,0.0003669207355446418,7.677238052701468e+35,1
Q9VVE2,0.007702601677412738,0.0014246141669964384,0.3852881320145151,4.841175551121869e-05,4.615519206630249e+35,0
Q9VHK6,3.184045364438613e-05,0.0004748713889988128,0.3769378304740719,7.197511558115849e-07,2.6434425122083417e+35,1
Q9VWM5,0.00891400855197742,0.0003165809259992085,0.3755965381542157,8.350894198196938e-08,2.3840085909400743e+35,0
Q9VXX8,0.006962521080879142,0.0016620498614958448,0.3810553824003883,1.9589016758047293e-05,4.2207001556457485e+35,0
Q960X4,0.006894322813733494,0.0038781163434903044,0.38304619262597456,0.0005631420981111749,5.255589702033992e+35,0
Q9VT65,0.006613921895536239,0.0009497427779976256,0.3766595363241541,3.6204954234263154e-06,2.954121247823945e+35,1
Q8T0D1,0.00802179333706008,0.0011080332409972298,0.37781015635921,0.00015977264371193418,2.9623438765268307e+35,0
Q9W406,0.008007706847004923,7.914523149980213e-05,0.3753432312709382,0.0,2.1113311754069404e+35,0
P18491,0.005449124623972463,0.001187178472497032,0.3791555924593341,0.00025039388601525033,2.8109154201225567e+35,0
A1Z9I8,0.017570917764384526,0.0022160664819944596,0.3842000548272389,3.944185549041601e-05,6.5931487636434075e+35,0
