locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0029974,,1,347,NE,Nonessential
FBgn0029975,,1,347,NE,Nonessential
FBgn0029976,,1,347,NE,Nonessential
FBgn0029977,,1,347,NE,Nonessential
FBgn0029979,,1,347,NE,Nonessential
FBgn0029980,,2,"347,363","NE,E",Conditional
FBgn0029986,,1,347,NE,Nonessential
FBgn0029987,,1,347,NE,Nonessential
FBgn0029989,,1,347,NE,Nonessential
FBgn0029990,,1,347,NE,Nonessential
FBgn0029992,,1,347,NE,Nonessential
FBgn0029993,,1,347,NE,Nonessential
FBgn0029994,,1,347,NE,Nonessential
FBgn0029995,,1,347,NE,Nonessential
FBgn0029996,,1,347,NE,Nonessential
FBgn0029997,,1,347,NE,Nonessential
FBgn0029999,,1,347,NE,Nonessential
FBgn0030000,,1,347,NE,Nonessential
FBgn0030001,,1,347,NE,Nonessential
FBgn0030003,,1,347,NE,Nonessential
FBgn0030004,,1,347,NE,Nonessential
FBgn0030005,,1,347,NE,Nonessential
FBgn0030006,,1,347,NE,Nonessential
FBgn0030007,,1,347,NE,Nonessential
FBgn0030008,,1,347,NE,Nonessential
FBgn0030009,,1,347,NE,Nonessential
FBgn0030010,,1,347,NE,Nonessential
FBgn0030011,,1,347,NE,Nonessential
FBgn0030012,,1,347,NE,Nonessential
FBgn0030013,,1,347,NE,Nonessential
FBgn0030014,,1,347,NE,Nonessential
FBgn0030015,,1,347,NE,Nonessential
FBgn0030016,,1,347,NE,Nonessential
FBgn0030017,,1,347,NE,Nonessential
FBgn0030018,,1,347,NE,Nonessential
FBgn0030025,,1,347,NE,Nonessential
FBgn0030026,,1,347,NE,Nonessential
FBgn0030027,,1,347,NE,Nonessential
FBgn0030028,,1,347,NE,Nonessential
FBgn0030029,,1,347,NE,Nonessential
FBgn0030030,,1,347,NE,Nonessential
FBgn0030033,,1,347,NE,Nonessential
FBgn0030034,,1,347,NE,Nonessential
FBgn0030035,,1,347,NE,Nonessential
FBgn0030037,,1,347,NE,Nonessential
FBgn0030038,,1,347,NE,Nonessential
FBgn0030039,,1,347,NE,Nonessential
FBgn0030040,,1,347,NE,Nonessential
FBgn0030041,,1,347,NE,Nonessential
FBgn0030048,,1,347,NE,Nonessential
FBgn0030049,,1,347,NE,Nonessential
FBgn0030050,,1,347,NE,Nonessential
FBgn0030051,,2,"347,363","NE,NE",Nonessential
FBgn0030052,,1,347,NE,Nonessential
FBgn0030053,,1,347,NE,Nonessential
FBgn0030054,,1,347,NE,Nonessential
FBgn0030055,,1,347,NE,Nonessential
FBgn0030056,,1,347,NE,Nonessential
FBgn0030057,,1,347,NE,Nonessential
FBgn0030058,,1,347,NE,Nonessential
FBgn0030060,,1,347,NE,Nonessential
FBgn0030061,,1,347,NE,Nonessential
FBgn0030063,,1,347,NE,Nonessential
FBgn0030065,,1,347,NE,Nonessential
FBgn0030066,,1,347,NE,Nonessential
FBgn0030067,,1,347,NE,Nonessential
FBgn0030071,,1,347,NE,Nonessential
FBgn0030073,,1,347,NE,Nonessential
FBgn0030074,,1,347,NE,Nonessential
FBgn0030077,,1,347,E,Essential
FBgn0030078,,1,347,NE,Nonessential
FBgn0030079,,1,347,NE,Nonessential
FBgn0030080,,1,347,NE,Nonessential
FBgn0030081,,1,347,NE,Nonessential
FBgn0030082,,1,347,NE,Nonessential
FBgn0030085,,1,347,NE,Nonessential
FBgn0030086,,1,347,NE,Nonessential
FBgn0030087,,1,347,NE,Nonessential
FBgn0030088,,1,347,NE,Nonessential
FBgn0030089,,1,347,NE,Nonessential
FBgn0030090,,1,347,NE,Nonessential
FBgn0030091,,1,347,NE,Nonessential
FBgn0030092,,1,347,NE,Nonessential
FBgn0030093,,1,347,NE,Nonessential
FBgn0030094,,1,347,NE,Nonessential
FBgn0030096,,1,347,NE,Nonessential
FBgn0030097,,1,347,NE,Nonessential
FBgn0030098,,1,347,NE,Nonessential
FBgn0030099,,1,347,NE,Nonessential
FBgn0030100,,1,347,NE,Nonessential
FBgn0030101,,1,347,NE,Nonessential
FBgn0030102,,1,347,NE,Nonessential
FBgn0030103,,1,347,NE,Nonessential
FBgn0030104,,1,347,NE,Nonessential
FBgn0030105,,1,347,NE,Nonessential
FBgn0030107,,1,347,NE,Nonessential
